emp_no,fullname,from_date,salary,title
231308,Lijie Boudaillier,1996-09-19,62419,Senior Staff
231315,Subir Farrar,1994-08-19,46924,Senior Engineer
231316,Zhilian Soloway,1996-09-03,40000,Engineer
231322,Tetsushi Colorni,1994-09-30,56628,Engineer
231324,Utpal Thebaut,2001-07-16,40000,Senior Engineer
231329,Kinh Onuegbe,1998-03-24,40000,Assistant Engineer
231333,Kinh Stroustrup,1993-01-28,40000,Senior Staff
231339,Bogdan Skrikant,1998-06-20,48902,Senior Engineer
231344,Ohad Kalafatis,1994-09-15,42178,Senior Staff
231345,Kagan Asrin,1998-07-02,41999,Staff
231347,Kiam Thimonier,1994-09-09,40000,Senior Engineer
231353,Dinah Schurmann,2000-11-06,42572,Senior Engineer
231355,Abdelghani Silva,1996-03-02,40000,Senior Engineer
231362,Boriana Pintelas,1993-01-19,50313,Technique Leader
231368,Richara Muhling,1999-10-02,50368,Assistant Engineer
231372,Khatoun Koblick,1997-08-20,48855,Staff
231375,Jungsoon Kushnir,1995-03-16,40000,Senior Staff
231380,Christfried Schwabacher,1998-08-15,67116,Assistant Engineer
231383,Randy Chiodo,2001-03-01,51990,Senior Engineer
231386,Ashish Swiss,2001-12-29,52791,Senior Engineer
231392,Mats Akiyama,1999-04-04,40000,Senior Engineer
231393,Tamiya DuCasse,1989-04-29,50072,Senior Engineer
231401,Fumino Biran,1996-01-18,40000,Senior Engineer
231409,Maya Thorensen,1994-02-16,53770,Senior Engineer
231410,Persi Sidou,1999-04-09,62412,Senior Staff
231411,Prasadram Perfilyeva,1993-06-28,69588,Senior Staff
231416,Mokhtar DasSarma,1997-06-15,54044,Senior Staff
231417,Arfst Breugel,1998-04-10,44186,Senior Engineer
231424,Dayanand Fortenbacher,2001-06-29,69306,Senior Staff
231425,Danai DuCasse,1991-05-11,40000,Senior Engineer
231427,Shuji Jullig,1998-06-19,40000,Engineer
231430,Quingbo Kusakabe,1995-02-04,80378,Senior Staff
231431,Anestis Merle,1988-02-13,40000,Senior Staff
231436,Hironobu Nannarelli,1994-08-11,40000,Senior Engineer
231440,Mariangiola Lores,1993-08-20,69411,Senior Engineer
231443,Atreyi Olivero,2001-05-17,70307,Senior Staff
231444,Fei Angelov,1999-04-26,44721,Staff
231457,Mads Ratnaker,1996-06-11,62213,Senior Staff
231463,Utpal Ressouche,1996-11-05,58300,Engineer
231469,Juyoung Denos,1987-12-23,40000,Senior Engineer
231470,Hitofumi Sankaranarayanan,2000-12-20,49642,Senior Staff
231471,Saeko Chinin,1988-01-11,48033,Senior Engineer
231473,Mong Kalafatis,1995-03-28,40000,Senior Engineer
231477,Larisa Krohm,1996-12-29,48678,Senior Staff
231479,Yunming Maksimenko,1996-11-30,52523,Engineer
231486,Yefim Cmelik,1985-12-26,55079,Senior Engineer
231487,Jingling Schmittgen,1998-11-05,65553,Engineer
231490,Etsuo Clouatre,1988-06-05,41184,Senior Staff
231495,Ewing Polajnar,1998-11-25,66243,Staff
231499,Inderjeet Perly,1995-01-23,48696,Staff
231501,Valeska Kawashimo,2001-12-19,58316,Senior Staff
231509,Hongzue Farris,1998-12-11,40000,Engineer
231511,Felicidad Vieri,1998-08-20,66026,Staff
231514,Phillip Fraisse,1996-09-10,51720,Engineer
231516,Jinya Farrag,1996-05-18,70662,Senior Staff
231520,Junichi Angel,1995-08-07,40000,Engineer
231521,Kiam Koshino,1994-03-30,40000,Senior Engineer
231522,Saeed Kaminger,2000-07-11,40000,Senior Engineer
231523,Oscal Rattan,1997-05-10,83043,Staff
231527,Limsoon Diderrich,1996-11-27,60680,Senior Staff
231528,Serenella Botman,2002-04-23,56444,Senior Engineer
231535,Deborah Murtha,1997-05-15,40000,Engineer
231536,Jouni Wrigley,1997-10-16,40240,Senior Staff
231538,Arco Azumi,1999-12-02,47436,Senior Engineer
231549,Yahiko Renear,1995-12-10,52610,Senior Engineer
231553,Oksana Simkin,1985-11-20,48322,Senior Engineer
231554,Xiaoshan Hennings,1994-12-02,67222,Senior Engineer
231557,Janche Griswold,1993-04-26,40000,Senior Engineer
231558,Percy Karcich,1989-07-06,64287,Senior Staff
231562,Juyoung Irland,1997-11-15,48613,Senior Engineer
231563,Khosrow Rijckaert,1999-01-30,54532,Staff
231564,Vasilii Nanard,1994-08-05,45322,Senior Staff
231566,Lillian Brickell,1997-09-16,50472,Senior Staff
231567,Ravishankar Ohori,2001-07-27,45588,Senior Engineer
231570,Dietrich Vecchi,1999-01-24,56007,Staff
231571,Lena Broomell,1995-08-01,68233,Senior Staff
231578,Taiji Barvinok,1996-12-20,96520,Staff
231583,Szabolcs Laventhal,1990-02-05,40000,Senior Engineer
231586,Teunis Standera,1996-04-09,71623,Senior Staff
231587,Cheong Schueller,1999-12-31,40000,Senior Engineer
231588,Insup Biron,1996-02-24,40000,Engineer
231594,Arvind Nourani,1996-04-29,45302,Senior Engineer
231595,Jenwei Schwartzbauer,1995-05-27,80504,Senior Staff
231602,Leaf Azumi,1991-01-18,40000,Senior Engineer
231606,Marlo Trumbly,1991-08-18,43165,Senior Engineer
231611,Moni Muhlberg,1992-08-20,53618,Senior Staff
231614,Saeed Suessmith,2000-02-14,48984,Senior Staff
231616,Shalesh Szmurlo,1998-05-25,40000,Engineer
231618,Cedric Shiratori,1989-04-17,54927,Senior Staff
231627,Conor Schaaf,1994-08-22,59279,Engineer
231634,Conor Marwedel,1998-01-31,59878,Senior Engineer
231635,Billie Kalafatis,1985-03-21,40000,Technique Leader
231639,Boriana Kropp,1990-10-03,51926,Senior Engineer
231649,Woody Hebert,1986-03-23,54830,Senior Engineer
231658,Hironobu Janetzko,1995-03-16,40000,Engineer
231661,Remzi Matzke,1996-06-25,57156,Senior Staff
231662,Manu Marakhovsky,1999-03-27,40000,Assistant Engineer
231665,Gita Cullers,1994-04-04,40000,Senior Engineer
231667,Rimon Porenta,1998-09-20,40000,Senior Staff
231672,Hironobu Erdi,2000-10-23,70062,Senior Engineer
231673,Lubomir Genin,1994-09-15,70198,Senior Engineer
231689,Mikhail Rajala,1998-07-10,40000,Senior Staff
231690,Srinidhi Selenyi,1997-06-09,70599,Senior Staff
231693,Brigham Thisen,1998-08-21,65149,Engineer
231696,Foong Silva,1987-11-12,82240,Senior Staff
231699,Subhankar Murtha,1999-07-24,40000,Senior Staff
231702,Sahrah Vieri,2002-03-25,56117,Senior Staff
231703,Kwangjo Meszaros,1996-11-25,72421,Senior Staff
231704,Tetsurou Rajcani,1998-07-24,40000,Senior Staff
231705,Fusako Feldhoffer,1994-03-27,55200,Senior Engineer
231706,Achilleas Pettey,1994-04-03,57246,Senior Staff
231719,Felicidad Krichel,1991-08-27,65156,Technique Leader
231723,Wanqing Aseltine,1996-03-10,40000,Technique Leader
231727,Kazuhito Luca,1995-09-29,40000,Senior Staff
231729,Kristen Kobuchi,1998-01-29,54681,Senior Staff
231735,Sanjeeva Randi,1994-08-17,40000,Senior Staff
231736,Sverrir Peternell,1986-05-19,40000,Technique Leader
231740,Kyoichi Gustavson,1995-09-01,72876,Senior Staff
231746,Jaber Gist,1997-09-12,40000,Staff
231748,Christophe Curless,1999-01-10,47969,Staff
231750,Arvind Siepmann,1996-08-18,68697,Staff
231751,Van Lunn,1992-11-25,40000,Senior Staff
231754,Yannis Stemann,1998-01-29,80904,Staff
231756,Ronnie Barreiro,1998-09-19,40000,Engineer
231760,Karsten Auyong,1993-08-13,53218,Senior Staff
231767,Bezalel Butterworth,1997-11-02,68252,Senior Staff
231770,Ashish Luke,2002-03-29,71747,Senior Staff
231782,Yagil Uehara,1998-07-21,44549,Assistant Engineer
231783,Tomokazu Radwan,1998-06-07,63844,Senior Staff
231795,Marsja Zweizig,1999-05-24,62591,Senior Engineer
231802,Ohad Nastansky,1996-12-31,76206,Senior Staff
231803,Lein Kilgour,1993-01-09,40000,Senior Engineer
231806,Bokyung Toyoshima,1993-06-18,75581,Technique Leader
231815,Marjo Reinhart,1991-09-06,59306,Senior Engineer
231818,Gretta Hartvigsen,1996-08-23,60042,Technique Leader
231825,Fumitake Cyne,1991-08-11,54423,Senior Engineer
231829,Jaideep Leuchs,1992-09-22,40000,Senior Staff
231832,Chanjung Ramsay,1999-05-15,40000,Senior Engineer
231838,Kazuhiko Strandh,1994-07-06,59285,Engineer
231842,Navid Limongiello,1997-02-20,40000,Engineer
231847,Geraldo Pauthner,1994-12-18,40000,Senior Staff
231848,Munenori Ghandeharizadeh,1999-11-08,63246,Senior Engineer
231856,Suzette Remmele,1995-11-09,40000,Engineer
231857,Breannda Erev,2000-01-08,40000,Staff
231858,Geoffry Baez,1988-06-07,62183,Senior Staff
231865,Gou Reeken,1993-05-24,45625,Senior Engineer
231874,Murthy Peroz,2001-01-30,50943,Senior Staff
231876,Abdelkader Akazan,2000-02-14,40000,Senior Staff
231879,Kyoichi Acton,1996-06-10,61900,Senior Engineer
231883,Srinidhi Heering,2002-01-24,57391,Senior Staff
231884,Florian Pagter,1998-06-07,40000,Senior Staff
231887,Yongmin Petereit,1991-01-18,88339,Senior Staff
231891,Yagil Ranka,1993-05-28,74026,Senior Staff
231895,Shiv Hmelo,2001-09-09,40000,Senior Engineer
231899,Vishu Neiman,2000-04-28,40000,Engineer
231905,Hugo Comellas,2001-10-10,55530,Senior Engineer
231911,Lucien Sury,1996-11-07,61742,Staff
231918,Ger Naumovich,1991-10-10,62273,Senior Engineer
231919,Sanjit Lamma,1993-05-12,45267,Senior Engineer
231922,Mohammad Minakawa,1993-07-29,50165,Senior Engineer
231929,Adit Muhlberg,1997-03-13,40000,Senior Staff
231932,Tru Molberg,1992-08-05,77004,Senior Engineer
231935,Duri Perry,1988-01-20,40000,Senior Engineer
231938,Stafford Fontan,1997-02-06,40000,Senior Engineer
231940,JiYoung Servi,1995-12-28,40000,Senior Staff
231943,Niteen Tsukune,1989-12-24,43331,Senior Staff
231947,Vasilis Radivojevic,1999-01-13,50761,Staff
231950,Stella Marchegay,1997-06-20,52600,Senior Engineer
231952,Carrsten Docker,1988-10-29,52909,Senior Engineer
231956,Spyrose Birjandi,1993-11-09,54080,Senior Staff
231959,Adib Hatcliff,2001-05-06,66327,Senior Staff
231963,Xuejia Peng,1994-08-12,44413,Engineer
231968,Elrique Mapelli,1994-06-18,50942,Senior Engineer
231969,Flemming Birrer,2000-09-17,40000,Senior Engineer
231978,Somnath Plesums,1993-09-30,40000,Senior Staff
231981,Ekawit Zedlitz,1999-05-20,52908,Senior Engineer
231988,Baocai Esteva,1991-09-27,40000,Senior Engineer
231994,Hideyuki Hagimont,1993-01-07,61575,Senior Engineer
231996,Aleksander Peng,1993-02-20,52167,Senior Engineer
232000,Satyanarayana Dolinsky,1994-12-21,41012,Senior Staff
232010,Neelam Farris,2002-01-10,45587,Senior Engineer
232012,Yefim Veldwijk,1999-08-03,79349,Staff
232013,Hidde Falby,1996-07-10,80039,Staff
232030,Kish Waleschkowski,1993-07-29,40000,Senior Engineer
232031,Zvonko Alpay,1995-02-21,58388,Senior Engineer
232035,Yakichi Marwedel,1989-08-11,40000,Senior Engineer
232038,Ennio Bach,1991-12-02,40000,Senior Engineer
232040,Vasiliy Hoogerwoord,1992-08-01,52564,Senior Engineer
232045,Berhard Goodrum,1995-12-26,40000,Senior Engineer
232048,Mabhin Kandlur,1993-04-23,47037,Senior Engineer
232050,Tomoyuki Weedon,1993-02-23,55575,Senior Staff
232053,Izaskun Mundy,1994-02-20,40000,Senior Engineer
232054,Tetsurou Hanabata,1999-03-16,40000,Engineer
232057,Valter Candan,1992-03-11,40000,Senior Staff
232058,Shigeichiro Pehl,1996-05-10,40000,Senior Engineer
232062,Sham Salinas,1997-03-17,81503,Staff
232064,Kwok Collette,1996-08-07,40000,Engineer
232065,Berto Kohling,1999-07-03,46977,Staff
232067,Abdelwaheb Rosay,1994-03-10,55385,Engineer
232070,Bilhanan Marrakchi,2002-07-25,41130,Senior Staff
232083,Ebru Wissmann,1996-03-04,40000,Staff
232089,Yoshimitsu Czaja,1995-11-04,40000,Senior Engineer
232091,Yishay Nooteboom,1999-09-19,52133,Engineer
232093,Sadun Keustermans,1999-06-15,47242,Engineer
232096,Harjit Iacovou,1997-10-18,40000,Senior Engineer
232098,Margareta Bale,1996-06-03,56339,Senior Staff
232102,Hidekazu Ramsay,1999-08-15,61568,Staff
232107,Boutros Baby,2001-04-05,47895,Senior Engineer
232111,Abdelkader Gecsel,1995-07-17,42336,Senior Engineer
232113,Jaideep Sichman,1997-12-01,71438,Senior Staff
232114,Bogdan Jonsson,1995-11-13,73147,Senior Staff
232118,Kankanahalli Murtafg,1989-10-05,67274,Senior Engineer
232121,Ayonca Panwar,1988-01-09,40000,Senior Engineer
232125,Soenke Vasanthakumar,1997-11-07,50351,Senior Engineer
232127,Jamaludin Hanabata,1997-02-04,67237,Engineer
232130,Shichao Lanzelotte,1998-06-24,59476,Senior Staff
232133,Pascal Cangellaris,1996-07-06,71135,Senior Staff
232134,Malu Suwa,2002-07-17,48500,Senior Engineer
232142,Valter Merli,2001-02-28,40000,Senior Engineer
232143,Zongyan Demian,1998-01-19,40000,Senior Engineer
232146,Candido Herbst,1997-04-13,40000,Senior Staff
232152,Mayumi Paludetto,2001-07-31,60502,Senior Staff
232154,Kerhong Steinauer,1994-06-27,67022,Senior Staff
232158,Moty Merro,1999-03-07,51241,Senior Engineer
232169,Alois Jiang,1999-05-08,40000,Staff
232180,Mabry Lorys,1999-10-29,40000,Senior Engineer
232182,Paloma Haraldson,1999-11-14,60901,Engineer
232183,Jahangir Snedden,1999-07-08,46516,Senior Engineer
232184,Persi Weiland,1988-12-03,40000,Technique Leader
232199,Goncalo Heinisuo,1998-01-19,79933,Staff
232201,Weicheng Baig,1996-03-12,81443,Senior Staff
232203,Shaowei Pollock,1985-04-28,40000,Technique Leader
232204,Mamdouh Zastre,1997-11-04,65338,Staff
232211,Demos Nishimukai,1994-12-21,83003,Engineer
232220,Zengping Hettesheimer,1995-11-19,73191,Senior Engineer
232221,Fumiko Bahi,1998-08-06,46207,Senior Engineer
232226,Marsja Gerteisen,2000-10-21,48364,Senior Engineer
232230,Gay Steinauer,2000-03-16,40000,Senior Staff
232236,Xiaoshan Bonifati,1995-01-12,40000,Senior Staff
232241,Uno Barbanera,1996-12-30,71543,Staff
232243,Manton Encarnacion,1998-10-25,49879,Senior Staff
232244,Berna Polupanov,1996-08-22,62598,Senior Engineer
232247,Shounak Oehlmann,2000-07-27,40000,Senior Engineer
232255,Mariangiola Callaway,1997-06-12,83930,Senior Staff
232260,Mohan Stanger,1993-12-07,47929,Senior Engineer
232262,Anyuan Furedi,1998-07-19,58690,Senior Staff
232264,Huai Buescher,2000-11-18,40000,Senior Engineer
232265,Peer Wilfing,1989-08-15,40000,Technique Leader
232269,Kamran Szmurlo,1999-01-05,63667,Engineer
232276,Berna Ruemmler,2002-07-09,40000,Senior Staff
232277,Chaitali Calkin,2001-10-04,47521,Senior Engineer
232278,Xiping Tempesti,1998-01-16,40000,Senior Staff
232280,Tran Thibadeau,2000-12-26,54607,Senior Staff
232289,Fun Farrag,2002-01-27,66678,Senior Engineer
232291,Gila Desikan,1998-05-16,47633,Technique Leader
232294,Arie Klerer,1992-05-24,40000,Senior Engineer
232295,Amalendu Ranft,1997-02-01,41549,Staff
232297,Ghassan Borstler,2001-07-14,40000,Senior Engineer
232298,Bader Tempesti,1988-03-02,40000,Technique Leader
232313,Raimond Schiettecatte,1999-01-29,80850,Senior Staff
232328,Uinam Stanger,1987-02-15,40000,Senior Engineer
232330,Eben Kohling,1999-01-16,70063,Assistant Engineer
232333,Irene Isaak,1998-01-14,55641,Engineer
232334,Mayuri Kaminger,1997-04-02,40000,Senior Engineer
232335,Fay Boguraev,1998-07-24,40193,Senior Staff
232338,Genta Mahnke,2000-03-07,54601,Senior Staff
232340,Gaetan Marciano,1997-06-11,65125,Engineer
232348,Thanasis Bernick,1995-10-06,51093,Senior Staff
232350,Subir Lammel,1998-01-26,54377,Engineer
232357,Doowon Biros,1996-08-26,51755,Staff
232358,Stabislas Sadowski,1999-02-18,84302,Senior Staff
232359,Troy Chepyzhov,2000-12-11,44159,Senior Engineer
232367,Youjian Krogh,1997-06-24,52737,Engineer
232373,Marsha Lowrie,1999-05-29,40000,Senior Staff
232379,Hatsukazu Fandrianto,1999-06-12,51294,Senior Staff
232381,Siddarth Tempesti,2000-07-06,70837,Senior Staff
232382,Shir Landherr,1995-10-19,69964,Staff
232384,Selwyn Niizuma,2000-01-26,40000,Engineer
232389,Marit Kumaresan,1998-11-14,68963,Engineer
232390,Mohd Veldwijk,1996-06-06,40000,Technique Leader
232413,Claude Suri,1997-08-02,40000,Senior Engineer
232414,Kwok Leaver,1995-08-05,44433,Senior Staff
232416,Tokuyasu Binkley,2002-04-29,59754,Senior Engineer
232419,Zhonghua Leslie,2001-07-27,51927,Senior Engineer
232423,Szabolcs Baezner,1994-01-16,40000,Senior Engineer
232430,Karoline Adachi,1998-10-21,40433,Senior Engineer
232434,Ziva Reistad,1999-06-06,53711,Staff
232436,Morrie Stemann,1991-07-15,68841,Senior Staff
232437,Kasturi Douceur,1995-12-12,65943,Senior Staff
232438,Demos Polupanov,1999-09-12,60527,Staff
232440,Ottavia Ressouche,1995-07-29,40000,Senior Engineer
232445,Khedija Llado,1996-09-23,47639,Staff
232446,Chirstian Siepmann,1997-08-28,44586,Senior Staff
232449,Goh Gunderson,2000-01-24,52426,Staff
232455,Sreekrishna Bonifati,1991-08-28,40000,Senior Engineer
232460,Heather Panwar,1998-11-19,42824,Senior Engineer
232466,Weidon Perri,1986-03-24,52637,Technique Leader
232468,Sashi Harllee,2001-07-29,46945,Senior Engineer
232474,Ugo Luke,1998-01-23,68357,Senior Staff
232485,Margo Denti,1997-04-03,40000,Senior Engineer
232486,Bodo Hutter,1998-06-19,71326,Senior Staff
232503,Goa Camurati,1998-11-08,40000,Senior Engineer
232507,Uinam Gimbel,1997-07-09,63210,Senior Staff
232508,Kankanahalli Brickell,1985-03-19,48048,Senior Staff
232510,Xiaobin Hemaspaandra,1995-01-19,40000,Staff
232516,Jeanne Whittlesey,1996-09-13,40000,Engineer
232526,Stepehn Bernick,1997-03-02,57551,Senior Staff
232528,Satyanarayana Ramsay,1995-07-16,54703,Senior Engineer
232534,Dulce Dulin,1998-04-27,50029,Staff
232536,Mandell Baezner,1996-04-30,58883,Senior Staff
232543,Moni Masada,1987-10-27,45656,Senior Staff
232544,Mabo Porotnikoff,1995-08-25,92765,Senior Staff
232545,Mani Vanwelkenhuysen,1999-04-02,46111,Engineer
232559,Ramya Vernadat,1992-08-11,54630,Senior Staff
232564,Vishu Trachtenberg,1995-10-27,83949,Senior Engineer
232565,Nakhoon Hopewell,1998-07-15,56678,Senior Engineer
232574,Aloys Meriste,1989-11-29,75680,Senior Staff
232575,Froduald Benaini,1999-12-01,93113,Staff
232579,Margo Delgrossi,2001-04-06,69345,Senior Staff
232587,Sreenivas Weedon,1995-09-25,55499,Senior Engineer
232590,Eldridge Prochazka,1999-08-01,45062,Senior Staff
232594,Wuxu Bardell,1998-12-26,75485,Senior Engineer
232596,Zvonko Percebois,1994-09-08,44838,Senior Engineer
232597,Weiye Butner,2000-07-06,40000,Senior Staff
232599,Haldon Kropf,1992-05-10,92502,Senior Staff
232601,Claude Honglei,1999-04-15,40000,Engineer
232604,Abdelkader Strandh,1999-08-19,48147,Senior Staff
232608,Arco Kading,2002-03-20,44645,Senior Engineer
232613,Uwe Butner,1999-10-23,40000,Senior Engineer
232615,Selwyn Strandh,1998-10-22,66418,Staff
232617,Kamran Guerreiro,1998-11-25,62009,Senior Staff
232620,Arne Rabejac,1996-09-27,44851,Senior Engineer
232623,Guther Linares,1994-12-04,40000,Senior Engineer
232626,Behnaam Codenie,1994-12-22,40000,Senior Staff
232632,Brewster Radhakrishnan,1985-08-29,47322,Senior Engineer
232636,Duro Peha,1991-06-18,60518,Senior Staff
232638,Morrie Morris,1999-02-22,46402,Senior Engineer
232642,Kenton Henders,2002-06-26,40000,Senior Staff
232643,Samphel Casperson,1997-09-07,55801,Assistant Engineer
232644,DeForest Ossenbruggen,1997-12-02,45003,Senior Staff
232652,Taizo Kaiser,1989-11-18,40000,Senior Engineer
232657,Shir Basawa,1997-01-17,72979,Senior Staff
232662,Niteen Mattern,1989-09-18,49889,Technique Leader
232677,Arvind Orlowski,1993-03-05,40000,Senior Staff
232679,Lijie Baca,1994-05-20,40000,Senior Staff
232680,Gennadi Baba,1992-10-27,44201,Senior Engineer
232684,Hyuckchul Hockney,1993-08-31,46353,Senior Engineer
232686,Kazuhiko Akiyama,2001-07-19,52341,Senior Staff
232692,Yakichi Copas,1997-04-01,64910,Staff
232694,Diederik Pintelas,1987-09-15,40000,Senior Staff
232696,Houman Garnier,1999-11-10,72063,Senior Staff
232698,Siddarth Gurbaxani,1998-12-14,66733,Engineer
232699,Ortrun Farrel,1991-01-03,40000,Senior Engineer
232708,Odinaldo Benzmuller,1999-05-14,43378,Senior Staff
232711,Palash Vitiello,1995-03-12,40480,Senior Staff
232716,Manu Bruckman,1999-12-12,66737,Staff
232722,Mitchel Srimani,1999-10-30,55443,Staff
232724,Mohamadou Baak,1998-08-15,59879,Engineer
232726,Ewing Benaini,1995-06-01,46026,Senior Staff
232727,Sastry Jonsson,1994-05-01,64543,Senior Engineer
232729,Xiaoheng Francisci,1999-08-13,56255,Senior Engineer
232744,Paris Skrikant,1996-03-14,40000,Senior Engineer
232748,Zorica Ernst,1993-10-29,40000,Senior Engineer
232749,Jolita Basart,1997-09-19,40000,Assistant Engineer
232750,Fumitaka Majewski,1987-04-12,50390,Senior Staff
232753,Tadanori Sudbeck,1994-07-29,100993,Senior Staff
232758,Jeong Kisuki,1993-02-22,65212,Senior Engineer
232762,Luerbio Knightly,2000-03-18,55212,Senior Engineer
232771,Chanjung Rodite,1998-04-15,40774,Engineer
232782,Yurii Zolotykh,1995-04-30,47599,Senior Engineer
232784,Seshu Schurmann,1995-02-13,40000,Senior Staff
232785,Brewster Dratva,1998-05-17,50267,Senior Staff
232787,Aleksandar Kroll,1997-01-10,42733,Senior Engineer
232791,Khedija Haraldson,1997-10-20,40000,Engineer
232795,Prodip Barbanera,1996-06-19,40000,Staff
232802,Branimir Riesenhuber,1993-04-10,47113,Technique Leader
232808,Uriel Ghalwash,1996-02-12,40000,Senior Engineer
232813,Chandrasekaran Breugel,1992-11-29,40000,Senior Engineer
232816,Snehasis Whittlesey,1990-04-09,40000,Senior Staff
232817,Gio Garigliano,1997-05-05,40000,Senior Staff
232818,Sreenivas Peck,1994-09-15,40000,Engineer
232822,Torsten Mapelli,1992-12-24,40000,Senior Engineer
232824,Yishai Rebaine,1997-05-02,51322,Engineer
232827,Mahendra Ebeling,1997-09-28,40000,Engineer
232831,Rance Ghazalie,2002-03-19,40000,Senior Engineer
232834,Chinhyun Poehlman,1994-11-01,40000,Senior Engineer
232837,Mabhin Aseltine,1994-12-25,66808,Senior Engineer
232840,Ipke Bernardeschi,2000-01-20,62554,Senior Engineer
232845,Otmar Bruckman,1995-02-25,40000,Senior Staff
232855,Aamod Wossner,1991-03-12,63187,Technique Leader
232857,Ebbe Swiss,1992-12-03,76574,Senior Staff
232868,Tua Suri,1991-12-07,53801,Senior Engineer
232874,Richard Debuse,2001-03-10,40000,Senior Staff
232876,Youngkon Barbanera,1998-04-23,40000,Engineer
232878,Xinyu Peroz,2001-08-04,40845,Senior Staff
232879,Krisda Emden,2001-07-30,43306,Senior Staff
232880,Uli Reutenauer,1997-04-21,40000,Senior Staff
232882,Zhigen Pepe,1986-10-12,82153,Senior Staff
232888,Ennio Comellas,1986-04-08,43882,Senior Staff
232890,Alair Herath,1992-03-12,40000,Senior Staff
232891,Sandeepan Sullins,1996-11-29,47752,Staff
232892,Yucai Matzat,1997-12-26,59930,Senior Staff
232893,Arif Leonhardt,1995-06-19,40000,Senior Engineer
232897,Toney Douceur,1994-10-15,45363,Senior Staff
232905,Yakkov Bouloucos,1999-06-09,74935,Senior Staff
232907,Bernd Christ,1991-12-06,47728,Senior Staff
232911,Marin Borstler,1997-01-11,47135,Senior Engineer
232915,Jaideep Ballarin,1995-02-22,40000,Staff
232918,Mayuko Bultermann,1995-10-06,64617,Engineer
232921,Ugo Ravishankar,1996-09-15,58012,Senior Staff
232922,Chinhyun Shobatake,1996-10-27,77968,Staff
232924,Hairong Bierman,2001-06-01,40000,Senior Staff
232928,Valeri Ratnakar,1998-06-15,40000,Technique Leader
232933,Keung Solovay,1987-12-23,60920,Senior Staff
232947,Noritoshi Meriste,1994-12-02,58343,Senior Staff
232950,Kirk Laurillard,1994-06-30,60348,Senior Staff
232952,Pranjal Einsfeld,2002-03-09,76120,Senior Staff
232954,Basil Ramaiah,1998-05-09,40000,Staff
232964,Jeanna Heemskerk,2000-04-18,42660,Engineer
232966,Qunsheng Rodite,2000-02-08,46316,Senior Staff
232971,Chaosheng Anger,1999-06-01,50157,Engineer
232972,Tianruo Impagliazzo,1996-02-02,62257,Senior Staff
232976,Premsyl Narahara,1998-12-18,74300,Senior Engineer
232979,Florian Tagansky,1996-01-28,60890,Engineer
232985,Vivian Curless,1997-05-04,40000,Senior Engineer
232988,Denis Dichev,1999-07-23,40000,Senior Engineer
232995,Jixiang Billawala,1998-02-07,82110,Senior Staff
233001,Jordanka Egerstedt,1999-02-25,58604,Senior Staff
233010,Nirmal Khamsi,1997-02-07,43088,Senior Engineer
233012,Yuchang Reistad,1991-11-27,40000,Senior Engineer
233017,Sugwoo Raney,1999-01-18,50246,Assistant Engineer
233021,Basim Isaac,2001-08-13,69117,Senior Staff
233022,Adam Bisiani,1988-05-28,65738,Senior Engineer
233030,Abdulah Businaro,1993-10-27,53542,Senior Staff
233032,Qingxiang Velardi,1996-08-28,45793,Senior Engineer
233040,Terresa Weedon,1998-01-12,45366,Senior Engineer
233048,Sailaja Waterhouse,1996-03-22,86832,Senior Staff
233056,Zhenhua Yoshimura,1994-11-25,84074,Senior Staff
233059,Takahiro Undy,1994-01-11,62291,Senior Engineer
233060,Indrajit Serre,1997-01-29,40000,Staff
233066,Laurentiu Grandbois,1996-03-05,56419,Senior Engineer
233067,Marco Heydon,1996-09-22,40000,Senior Engineer
233075,Atreyi Luff,1997-09-28,48663,Staff
233079,Genta Stranks,2001-01-11,40000,Senior Staff
233094,Divine Cardazo,1999-03-05,40000,Senior Engineer
233095,Qingxiang Rullman,1999-09-26,42434,Engineer
233097,Djenana Olano,1998-09-10,62261,Senior Engineer
233099,Geraldo Garigliano,1994-01-18,73105,Senior Staff
233102,Zhilian Garigliano,1991-10-26,40000,Senior Staff
233103,Rance Kuszyk,1997-11-28,40000,Senior Engineer
233106,Changho Cools,1999-04-23,73291,Senior Engineer
233115,Felicidad Middleton,1987-01-22,56383,Senior Engineer
233118,Fusako Otillio,1994-01-22,40000,Senior Engineer
233119,Valeska Levasseur,1992-02-09,75537,Senior Staff
233121,Lucian Norsworthy,1996-09-20,40000,Senior Engineer
233126,Geoff Kranzdorf,2001-08-23,40000,Senior Engineer
233127,Fun Gire,2001-11-02,72043,Senior Staff
233132,Evgueni Pusterhofer,2001-02-09,53972,Senior Staff
233136,Kauko Ruther,1997-07-05,48950,Senior Staff
233147,Yishai Teitelbaum,1998-10-16,44153,Senior Engineer
233151,JoAnna Foong,2002-04-20,41812,Senior Staff
233163,Jayson Ginneken,1994-09-12,81892,Senior Staff
233165,Mohan Crooks,1996-07-13,40000,Senior Engineer
233169,DeForest Remmers,2000-11-10,64356,Senior Staff
233177,Pranav Ashish,1997-01-27,96540,Senior Staff
233187,Lunjin Czaja,1987-12-27,58358,Senior Staff
233188,Tayeb Jenevein,1998-06-26,55988,Senior Staff
233194,Masaki Taneja,1994-04-17,41489,Engineer
